HTL1_u_h,HTL1_Ntr,HTL2_u_h,EML_u_h,EML_u_e,EML_recom,ETL2_u_e,ETL1_u_e,ETL1_Ntr
3.467E-08,1.023E+15,5.370E-06,2.512E-09,2.188E-08,1.260E-14,5.012E-06,1.000E-03,2.399E+14
1.072E-06,3.715E+16,3.631E-05,6.457E-09,1.738E-09,4.233E-15,3.388E-05,1.660E-07,2.512E+15
1.023E-05,2.512E+17,1.047E-06,1.622E-10,8.128E-10,5.036E-16,5.248E-08,2.344E-06,7.762E+16
7.943E-06,1.905E+14,4.467E-06,8.128E-09,3.236E-10,4.366E-15,1.698E-07,6.026E-05,3.236E+17
9.333E-05,5.495E+17,1.862E-07,3.388E-10,8.913E-07,4.605E-13,3.467E-05,8.128E-08,2.630E+16
8.318E-07,1.259E+14,3.981E-08,3.388E-07,2.754E-07,3.173E-13,4.074E-05,5.495E-05,2.239E+17
1.862E-05,2.455E+15,2.399E-05,3.631E-08,1.622E-09,1.959E-14,3.311E-05,5.888E-06,6.457E+15
3.388E-08,1.950E+16,1.585E-04,3.890E-09,2.512E-10,2.139E-15,5.012E-08,9.120E-07,1.148E+15
2.951E-06,1.259E+14,4.169E-07,5.495E-06,5.623E-07,3.129E-12,1.023E-08,7.943E-05,2.818E+14
1.047E-07,1.660E+17,2.344E-05,2.455E-09,2.818E-06,1.457E-12,1.950E-05,1.202E-06,9.772E+15
5.012E-05,1.175E+17,4.677E-08,8.913E-08,2.512E-09,4.733E-14,3.020E-07,1.622E-05,4.677E+14
3.020E-04,1.096E+15,5.495E-05,6.026E-07,1.698E-09,3.121E-13,1.413E-08,2.239E-04,8.128E+16
2.692E-07,6.026E+15,1.000E-03,1.514E-10,4.467E-06,2.307E-12,3.467E-07,2.042E-04,2.951E+14
1.202E-08,3.715E+15,2.818E-04,1.349E-10,2.951E-09,1.594E-15,2.399E-05,5.495E-04,9.550E+14
4.266E-07,7.943E+16,8.710E-06,1.288E-08,8.913E-10,7.115E-15,5.248E-05,4.571E-04,2.239E+17
2.455E-07,1.549E+16,5.370E-07,2.089E-07,3.311E-06,1.818E-12,9.772E-06,2.455E-07,5.623E+17
1.413E-05,1.202E+15,8.128E-06,1.778E-10,7.762E-10,4.928E-16,2.089E-06,1.950E-06,8.318E+17
9.772E-07,1.698E+16,5.370E-06,9.333E-09,1.778E-07,9.668E-14,1.514E-05,8.128E-05,7.943E+17
2.818E-07,1.479E+15,6.310E-08,8.913E-08,7.586E-07,4.379E-13,1.622E-05,9.772E-07,4.074E+14
9.120E-05,1.349E+17,2.754E-08,1.445E-07,2.951E-10,7.482E-14,3.236E-08,1.230E-07,1.230E+15
5.370E-06,1.122E+14,2.291E-05,5.248E-08,1.413E-07,1.001E-13,2.089E-08,3.020E-04,1.148E+16
8.128E-08,1.585E+17,1.514E-06,6.166E-10,1.698E-07,8.804E-14,1.950E-08,5.888E-05,2.884E+16
1.000E-04,2.951E+14,2.512E-08,2.570E-08,7.079E-06,3.670E-12,6.457E-05,3.631E-06,4.571E+16
1.585E-08,2.089E+14,3.236E-08,5.888E-06,8.511E-07,3.481E-12,1.479E-08,2.239E-06,2.630E+15
8.913E-08,1.072E+16,1.738E-04,7.413E-10,2.042E-07,1.058E-13,1.995E-05,2.399E-07,1.096E+16
2.754E-08,7.762E+15,1.549E-08,1.148E-08,3.981E-10,6.136E-15,2.884E-06,1.514E-05,7.943E+15
2.239E-06,1.995E+17,2.630E-05,3.715E-10,3.981E-06,2.057E-12,6.761E-07,2.512E-06,6.310E+14
1.175E-06,3.236E+15,3.802E-04,1.023E-06,7.244E-10,5.290E-13,6.166E-06,5.754E-07,4.169E+16
1.514E-07,2.138E+15,5.370E-07,7.244E-09,2.884E-08,1.864E-14,6.457E-06,3.311E-05,2.455E+15
4.571E-08,1.230E+14,2.291E-08,3.311E-10,5.248E-06,2.711E-12,7.762E-07,2.291E-08,1.585E+16
9.772E-08,4.898E+15,3.981E-05,5.888E-09,1.230E-09,3.677E-15,5.370E-04,9.333E-06,7.943E+16
2.754E-07,1.585E+17,3.715E-05,3.311E-06,3.802E-07,1.907E-12,1.995E-07,6.026E-07,2.951E+17
5.012E-08,3.890E+16,1.072E-04,5.370E-09,6.918E-08,3.851E-14,7.943E-05,4.074E-04,1.096E+14
5.370E-05,1.318E+16,1.122E-06,1.514E-08,4.365E-07,2.333E-13,1.288E-06,9.333E-05,8.128E+17
6.310E-06,1.122E+17,1.380E-04,1.820E-10,8.511E-06,4.397E-12,1.175E-07,1.479E-07,5.012E+14
1.698E-04,2.570E+15,6.918E-08,1.202E-09,1.950E-06,1.008E-12,2.884E-07,5.495E-08,3.020E+14
1.479E-05,2.188E+16,6.166E-07,2.754E-09,4.074E-09,3.527E-15,1.288E-04,6.761E-07,1.820E+16
1.950E-05,6.918E+15,3.090E-07,1.660E-10,5.370E-07,2.775E-13,2.570E-07,1.288E-05,3.090E+15
1.738E-05,1.023E+16,5.370E-05,4.898E-10,6.026E-08,3.138E-14,3.715E-08,3.715E-06,9.333E+17
3.981E-07,1.000E+17,2.042E-07,8.128E-09,4.074E-09,6.303E-15,2.818E-04,2.291E-04,1.380E+16
4.571E-06,1.995E+14,1.047E-04,1.122E-09,5.623E-06,2.905E-12,1.000E-06,6.166E-06,4.074E+14
1.862E-05,3.548E+16,1.862E-07,7.762E-10,1.349E-08,7.369E-15,1.349E-05,2.884E-05,6.607E+14
3.236E-04,5.248E+17,2.138E-04,8.128E-06,4.365E-06,6.453E-12,2.188E-07,5.012E-05,3.388E+16
3.981E-08,2.239E+16,3.162E-06,1.413E-10,6.761E-06,3.492E-12,8.710E-06,5.495E-04,2.344E+16
5.888E-04,5.129E+16,1.995E-07,3.548E-08,1.660E-10,1.841E-14,5.012E-05,1.950E-06,1.122E+15
1.660E-04,4.677E+15,4.677E-06,8.710E-08,1.000E-09,4.551E-14,1.778E-06,7.244E-06,3.162E+14
1.288E-04,2.239E+15,3.981E-08,2.884E-07,5.370E-06,2.923E-12,1.380E-05,5.495E-05,1.023E+16
8.913E-08,7.586E+14,1.995E-07,3.548E-06,8.710E-06,6.332E-12,5.129E-05,5.623E-08,1.202E+15
2.138E-07,2.455E+14,8.318E-05,1.698E-09,9.120E-08,4.799E-14,1.047E-07,2.692E-05,3.802E+14
8.128E-08,7.079E+14,3.715E-07,1.995E-06,2.630E-06,2.389E-12,3.631E-07,1.096E-07,9.772E+16
1.288E-07,3.548E+17,4.365E-06,4.786E-07,2.818E-07,3.928E-13,2.455E-07,5.888E-05,1.778E+17
4.467E-08,1.259E+14,2.570E-08,3.715E-07,1.047E-09,1.925E-13,6.918E-04,2.630E-08,3.162E+17
2.399E-05,1.318E+14,4.074E-04,1.000E-06,1.905E-10,5.166E-13,9.333E-04,6.026E-05,7.762E+15
1.514E-07,6.607E+14,4.571E-06,6.310E-07,2.042E-08,3.365E-13,1.047E-05,5.370E-08,2.188E+14
2.344E-06,1.698E+16,3.802E-08,8.710E-09,8.511E-09,8.895E-15,2.692E-08,1.349E-08,3.236E+16
3.236E-07,3.467E+16,2.818E-05,4.786E-10,8.511E-08,4.421E-14,9.772E-08,1.413E-07,1.905E+17
5.012E-05,6.607E+17,5.248E-05,4.467E-07,1.230E-08,2.371E-13,3.715E-06,1.445E-05,3.802E+16
1.175E-05,3.311E+17,1.738E-08,5.495E-10,3.090E-07,1.599E-13,1.230E-05,1.175E-04,1.995E+17
5.623E-04,4.677E+16,3.020E-06,2.754E-07,5.623E-09,1.452E-13,2.344E-05,1.479E-04,7.244E+16
1.072E-04,1.820E+15,6.457E-05,6.026E-10,3.981E-07,2.060E-13,2.089E-06,6.918E-07,5.754E+14
